year,country,pop,labor_force,gdp,unemployment_r,pop_over_65,gdp_over_pop,continent,hours_worked_over_pop_combined,pop_0_to_14,pop_15_to_64,gdp_ppp_c,gdp_ppp,gdp_c
2013,"Korea, Dem. People's Rep.",25001819,14763271,NA,2.93,10.2783241491349,NA,3,1131.726858522496,20.4290755804608,0.6929259827054983,NA,NA,NA
2014,China,1371860000,780062420,10475624944355.2,4.63,9.63318544271975,7636.074340206143,3,1237.100083398716,18.3608561183836,0.7200595840683451,18789704490483.8,17423231129699.6,10333926843443.8
2014,"Hong Kong SAR, China",7229500,3899441,291459995978.893,3.296,14.8919579395671,40315.37395101916,3,1141.577575703984,11.664100308711,0.7344394494778339,447070977943.674,394115663343.846,302170283094.041
2014,Japan,127276000,65973877,4896994405353.29,3.589,26.5269847082293,38475.395246183805,3,888.8165247179359,12.7939349089855,0.6067908010936862,5461286604529.39,5034454618847.27,4376627829637.51
2014,"Korea, Rep.",50746659,27387622,1484488526271.8,3.082,12.5359402512469,29252.931237735276,3,1056.5294160499038,14.2118744015851,0.7325218592222987,2113509427828.96,1792600237630.01,1425981639370.35
2014,"Macao SAR, China",604167,374705,54902831793.5018,1.67,8.49268496955312,90873.60248656712,3,1519.198329964936,12.7583102023116,0.787490875867103,101077470074.587,90217341071.955,57396760498.8101
2014,Mongolia,2902823,1241618,12226514668.0622,4.798,3.80438349227347,4211.939435529552,3,1150.0622726768238,28.8188306381117,0.673767914888369,41315951926.4775,32298614756.1739,11349786311.9875
2014,"Korea, Dem. People's Rep.",25126131,14892585,NA,2.883,10.4593679783012,NA,3,1131.726858522496,20.1023110163678,0.6943831901537089,NA,NA,NA
2015,China,1379860000,780709584,11061572618578.7,4.65,10.0200536738185,8016.445594899989,3,1230.1143528256362,18.3565683565715,0.7162337795138637,20112749379001.5,18216461648412,11061572618578.7
2015,"Hong Kong SAR, China",7291300,3940825,309385622601.348,3.314,15.4987301412051,42432.16197404414,3,1148.7662696119487,11.5991044939697,0.7290217108060291,457746312581.804,408626637207.136,309385622601.348
2015,Japan,127141000,66061546,4444930651964.18,3.385,27.3282004148449,34960.63938433849,3,885.8310222508868,12.673481930384,0.5999831761587529,5546516901265.65,5199915217476.25,4444930651964.18
2015,"Korea, Rep.",51014947,27788180,1466038936206.43,3.546,12.9575960702039,28737.439170649926,3,1065.9381453827875,13.7713099130236,0.7327109445002462,2172880090240.7,1933588947770.48,1466038936206.43
2015,"Macao SAR, China",615239,378525,45048190598.3249,1.81,8.94977399027045,73220.6355551662,3,1518.4247961574736,12.8680073922492,0.7818229988671069,79331256634.4379,70022650971.924,45048190598.3249
2015,Mongolia,2964749,1254113,11619892590.6941,4.861,3.83906088492835,3919.3512134396874,3,1150.0622726768238,29.2864976573898,0.6687443017941822,42299203744.5578,31655860016.5362,11619892590.6941
2015,"Korea, Dem. People's Rep.",25258015,15038607,NA,2.902,10.6741820368703,NA,3,1118.4024395724475,19.8277279509098,0.6949809001221988,NA,NA,NA
2016,China,1387790000,780524312,11233313730348.7,4.56,10.456798743801,8094.390167351472,3,1223.8590192204006,18.3474893622344,0.7119571188724518,21490223756848.4,19265339702246.8,11819153423353.8
2016,"Hong Kong SAR, China",7336600,3956680,320860317562.562,3.392,16.1074806140512,43734.19807029987,3,1136.3829047311358,11.6614176013293,0.7223110160019628,467704179446.74,416436291872.847,316116033650.239
2016,Japan,127076000,66669411,5003677627544.24,3.132,27.9459201402714,39375.47316207813,3,892.0687777393056,12.5450854975407,0.5950899461739432,5588328029133.45,5158900389806.61,4478437728055.55
2016,"Korea, Rep.",51217803,28041851,1499679823909.61,3.65,13.3636233447276,29280.440317004817,3,1063.3881736998578,13.3699301095085,0.7326644604416164,2236912296310.75,2026967821102.36,1509241369553.54
2016,"Macao SAR, China",626688,379880,45070808688.9611,1.939,9.42134728816629,71919.05491881302,3,1518.4247961574736,13.0301577258877,0.7754847707312091,78792578658.4285,70409197227.4457,44742302740.7026
2016,Mongolia,3029555,1248388,11181350649.3573,7.235,3.8797948675292,3690.756777598459,3,1150.0622726768238,29.8366145913533,0.6628359610569869,42929370719.9824,32468148776.2369,11793003947.8926
2016,"Korea, Dem. People's Rep.",25389611,15129331,NA,2.925,10.7634595110575,NA,3,1118.4024395724475,19.5888723935156,0.6964766809542691,NA,NA,NA
2017,China,1396215000,778674707,12310491333980.9,4.47,10.9463556609958,8817.045608291632,3,1219.8052123134707,18.4046800417816,0.7064896430707305,22983192752169.8,20594682031575,12640253743744.4
2017,"Hong Kong SAR, China",7393200,3982216,341273289534.466,3.124,16.6937869282238,46160.42979149299,3,1125.1681862636058,11.872998773641,0.7143320889465996,485458654332.651,438127783294.236,328116085022.703
2017,Japan,126972000,67225084,4930837369151.42,2.822,28.4639936602532,38834.05293412264,3,899.5360236902624,12.4010425124184,0.5913496361402514,5681951062992.72,5262254961496.86,4553466417292.21
2017,"Korea, Rep.",51361911,28349693,1623074183501.9,3.653,13.8733453411698,31600.73587413638,3,1047.1373232415124,13.0498634789107,0.7307679030867835,2307590576700.3,2103651261121.49,1556927899270.75
2017,"Macao SAR, China",638609,384274,50383871120.8733,1.987,9.92618331404662,78896.27474851326,3,1516.2191399509502,13.2681343357203,0.7680568235023308,86561548436.7647,78445696792.6888,49153906012.5357
2017,Mongolia,3096030,1282474,11480847740.736,6.359,3.92996901353815,3708.248221346693,3,1149.622431453488,30.4513409836696,0.6561867940556132,45349246281.1623,34940501306.6572,12457761002.7432
2017,"Korea, Dem. People's Rep.",25516321,15283296,NA,2.846,10.7035451798959,NA,3,1118.4024395724475,19.3871440285779,0.6990931020189,NA,NA,NA
2018,China,1402760000,776278514,13894907857880.6,4.31,11.4800533153961,9905.40638304528,3,1214.3269898692813,18.3905505900045,0.7012939611907952,24534506282427.8,22453857449614.6,13493442283300.8
2018,"Hong Kong SAR, China",7452600,4016701,361731070995.726,2.805,17.3158120203621,48537.56688883423,3,1128.510259371914,12.0485714533944,0.7063561710007246,499279232812.016,453865391644.541,337457259730.221
2018,Japan,126811000,68386819,5040880939324.86,2.467,28.9016543595685,39751.13309827113,3,900.9477095835534,12.2406114580054,0.5885773395052479,5718508226089.43,5344060957173.08,4582763011477.35
2018,"Korea, Rep.",51585058,28513895,1725373496825.43,3.824,14.453284736507,33447.15628361666,3,1033.4377835832363,12.7596372847442,0.7278707721914357,2374681552210.47,2220442287180.66,1602194079769.04
2018,"Macao SAR, China",650991,391158,55190661339.7796,1.834,10.4804060271187,84779.45369410576,3,1497.8715691587695,13.5929682591618,0.759265489077422,92105970121.6037,85476958220.8245,52302301429.5785
2018,Mongolia,3163991,1296309,13178094720.4986,5.377,4.01394947077915,4165.02282101896,3,1152.7883267498105,31.1069784964622,0.6487907203275862,48861491267.8209,39516811632.4633,13422599720.3616
2018,"Korea, Dem. People's Rep.",25638149,15433647,NA,2.784,10.7271236560969,NA,3,1118.4024395724475,19.2320393482377,0.7004083641139616,NA,NA,NA
2019,China,1407745000,775321104,14279968506271.7,4.56,12.0221158122819,10143.860220616449,3,1208.3755582556537,18.2615109348666,0.6971637327783086,25994432263673.9,24300741817604.1,14296369668065.2
2019,"Hong Kong SAR, China",7507900,3999862,363074545072.389,2.917,18.003176709449,48359.00119505973,3,1115.8752146057668,12.1882696271665,0.6980854832909336,490929154517.392,459644295764.893,331813535027.381
2019,Japan,126633000,69045531,5117993853016.51,2.351,29.2798136767022,40415.95676495471,3,890.7872355547132,12.0720495366003,0.5864813674160764,5695510147252.54,5404462313923.95,4564332550094.45
2019,"Korea, Rep.",51764822,28808833,1651422932447.77,3.746,15.0656921994541,31902.416904819456,3,1027.806045647152,12.4535136924578,0.7248079400330981,2427968880490.2,2270666072345.05,1638146960195.06
2019,"Macao SAR, China",663653,395161,55082293844.1008,1.749,11.0754498777598,82998.63610064416,3,1497.8715691587695,13.9684548766109,0.7495603877327459,89744812639.9525,84779825204.4918,50961520043.041
2019,Mongolia,3232430,1388801,14206359017.5143,9.269,4.12313710167538,4394.947150445423,3,1147.1885690765132,31.748055139331,0.6412881330763543,51598831338.4922,44456622358.2437,14174566537.4555
2019,"Korea, Dem. People's Rep.",25755441,15529009,NA,2.838,10.8693404020793,NA,3,1118.4024395724475,19.1085122384142,0.7002214794147769,NA,NA,NA
2020,China,1411100000,763684716,14687744162801,5,12.5982619560395,10408.719554107434,3,1208.3755582556537,18.0251204603043,0.6937661760328822,26576353594843,25246667832981.6,14616413683019.5
2020,"Hong Kong SAR, China",7481000,3919996,344943149590.058,5.808,18.7604182532697,46109.22999466087,3,1115.8752146057668,12.2435835691643,0.6899600320812725,458798927893.01,435300511002.663,310097073539.271
2020,Japan,126261000,68898380,5055587093501.59,2.809,29.5831784516048,40040.7655055923,3,863.4490823216195,11.9157072442963,0.5850111435835293,5459310569514.2,5358320688497.43,4375044252274.51
2020,"Korea, Rep.",51836239,28597159,1644312831906.17,3.931,15.8290693238877,31721.29891418569,3,987.5875446486656,12.1664146109619,0.7200451599121611,2410744496330.6,2340031075342.67,1626525694049.93
2020,"Macao SAR, China",676283,390747,25343525935.8358,2.566,11.6795039946295,37474.73459459398,3,1266.4746302216236,14.3349012173898,0.7398559478798077,40981182851.1234,39219148014.2066,23271131888.5223
2020,Mongolia,3294335,1359751,13312981429.0891,6.594,4.26028318310069,4041.174145643689,3,913.539075388291,32.2020073854056,0.6353770943149376,49247084583.6546,45560002626.38,13528524951.0287
2020,"Korea, Dem. People's Rep.",25867467,15312602,NA,3.029,11.1009496987084,NA,3,1114.4338521208872,19.0133633880735,0.6988568691321806,NA,NA,NA
2021,China,1412360000,780370660,17820459508852.2,4.55,13.149753271767,12617.50510411807,3,1208.3755582556537,17.66807221382,0.6918217451641224,28821648700423.3,28821648700423.3,15851276922873.1
2021,"Hong Kong SAR, China",7413100,3866026,368954169748.818,5.174,19.6032705508389,49770.56423747393,3,1115.8752146057668,12.1736732759554,0.6822305108524099,488411631115.747,488411631115.747,330111969064.701
2021,Japan,125681593,68881069,5034620784584.98,2.828,29.7870899106731,40058.5373276179,3,872.37588998934,11.7739664230637,0.5843894340199841,5599031809810.88,5599031809810.88,4487015645273.13
2021,"Korea, Rep.",51769539,28772631,1818432106880.04,3.639,16.6507647220471,35125.52249847232,3,1003.4532470973096,11.8923557199027,0.7145687930502916,2514520654062.95,2514520654062.95,1696543311942.81
2021,"Macao SAR, China",686607,399806,30969334705.0515,2.252,12.3214590005636,45104.89218002656,3,1459.2554663645597,14.6135999196047,0.7306494107983169,50626336573.1949,50626336573.1949,28748124711.4672
2021,Mongolia,3347782,1327149,15286441737.6686,7.747,4.41871597094495,4566.1401302918175,3,926.2324267228732,32.431183925479,0.6315010953520869,50053145881.8599,50053145881.8599,13749955731.6936
2021,"Korea, Dem. People's Rep.",25971909,15453092,NA,3.134,11.3573072352903,NA,3,1114.4338521208872,18.9482875517545,0.6969440713811218,NA,NA,NA
2022,China,1412175000,781808304,17881783387000.9,4.98,13.7223354484422,12662.583169225414,3,1208.3755582556537,17.2466388906573,0.6903102568732629,29683152015089.3,31773150449261.9,16325084918823.8
2022,"Hong Kong SAR, China",7346100,3761289,358696261481.16,4.318,20.4726283622418,48828.12124544452,3,1115.8752146057668,12.0406163016692,0.6748676168306993,470434405732.011,503557814285.826,317961363117.443
2022,Japan,125124989,69113783,4256410760723.75,2.6,29.9245612556866,34017.27180750242,3,877.3177052931936,11.6227275864859,0.5845271083300555,5652487834657.27,5895687814585.3,4529854841042.58
2022,"Korea, Rep.",51672569,29339606,1673916511799.71,2.857,17.4911355963666,32394.68337252034,3,1030.549497092711,11.5716420487458,0.7093722202973883,2580216835950.54,2667437701775.83,1740868427277.01
2022,"Macao SAR, China",695168,401157,24464719190.0616,2.476,12.995698165265,35192.52783508677,3,1267.9820859743606,14.8182059457527,0.7218614780887498,39791313038.3083,42593029712.5167,22595465267.459
2022,Mongolia,3398366,1389489,17146471713.748,6.211,4.6106717169369,5045.504726020681,3,926.7758134089074,32.4651170591985,0.6292421122386465,52572175378.1041,56273795885.4353,14441951078.838
2022,"Korea, Dem. People's Rep.",26069416,15772130,NA,2.965,11.714383787608,NA,3,1113.5638019338355,18.8979450307221,0.693876725124951,NA,NA,NA
2023,China,1410710000,779245529,17794781986104.5,4.67,14.2666115310985,12614.060994892288,3,1208.3755582556537,16.7879462657534,0.6894544222412827,31226675919835.9,34643706848019.9,17173989334581.7
2023,"Hong Kong SAR, China",7536100,3825407,382054574298.529,3.931,21.3736876399774,50696.59031840461,3,1115.8752146057668,11.8684925940804,0.6675781903106381,485559130474.637,538692245589.201,328183995725.401
2023,Japan,124516650,69349452,4212945159781.4,2.575,30.0676304224503,33834.39210564531,3,881.6039318783158,11.4688879139334,0.5846348179139095,5761188314580.8,6251558780213.59,4616966465093.54
2023,"Korea, Rep.",51712619,29610896,1712792854202.37,2.642,18.3783913115038,33121.371288550865,3,1029.7513648735987,11.2350646363971,0.7038654336961738,2615223495508.23,2794196215269.68,1764487367948.7
2023,"Macao SAR, China",704149,406588,47061843715.8565,2.246,13.6644277955179,66835.06433419134,3,1445.0895023474054,14.9968863146249,0.713387365458163,71836935028.1004,79697811075.4615,40792546071.1855
2023,Mongolia,3447157,1402844,19872180369.6275,6.134,4.84738653437986,5764.802812760631,3,930.1681769791196,32.2517849131596,0.6290081942888008,56264314983.4183,62421131192.2578,15456208129.696
2023,"Korea, Dem. People's Rep.",26160821,15836683,NA,3.004,12.1931300972334,NA,3,1109.4684936461138,18.8450924601125,0.6896177684943451,NA,NA,NA
