year,country,pop,labor_force,gdp,unemployment_r,pop_over_65,gdp_over_pop,continent,hours_worked_over_pop_combined,pop_0_to_14,pop_15_to_64,gdp_ppp_c,gdp_ppp,gdp_c
1996,Japan,125757000,67627310,4923391533851.63,3.383,15.5087837165044,39150.03963080886,3,1012.235120112598,NA,NA,4871868449276.63,3143992144629.41,3904273220115.03
1996,"Korea, Rep.",45524681,21896543,610167053824.007,2.048,6.00193921759047,13402.994604706992,3,1213.283863953899,NA,NA,967048174816.988,668944044114.198,652465952372.005
1996,"Macao SAR, China",404297,194239,7176892950.39164,4.249,6.94130799882265,17751.536495179633,3,1116.3319831660483,NA,NA,24513115098.5745,14250565980.9845,13919752793.1241
1996,Mongolia,2357033,885063,1345719472.35883,5.533,3.46709189052508,570.9379004701376,3,1047.837991858362,NA,NA,12414457527.5703,7479331657.90405,3410339918.29364
1996,"Korea, Dem. People's Rep.",22614347,12370248,NA,2.693,5.40490058357863,NA,3,995.5592588420266,NA,NA,NA,NA,NA
1997,China,1230075000,702212322,961601980984.623,3.23,6.31515927908334,781.7425612134407,3,1151.673451523145,NA,NA,3998499721193.33,2788484510926.54,2199087464269.01
1997,"Hong Kong SAR, China",6489300,3274618,177353174849.714,2.22,10.5013696129128,27330.09336133543,3,1113.6375232761868,NA,NA,255695773289.541,172684224230.099,172821918694.496
1997,Japan,126057000,68180348,4492448605638.94,3.374,16.0812831216864,35638.23195569417,3,1002.5760171985688,NA,NA,4919672622292.62,3229588924781.63,3942583070731.74
1997,"Korea, Rep.",45953580,22397570,569755022973.035,2.608,6.2474695344953,12398.490454346213,3,1197.2619641317551,NA,NA,1026720389434.45,722468658677.207,692726706028.768
1997,"Macao SAR, China",411700,202411,7267570892.70211,3.261,7.03122058686008,17652.58900340566,3,1116.3319831660483,NA,NA,24444708304.8053,14455855880.3212,13880908050.0219
1997,Mongolia,2381771,901929,1180934202.83801,5.611,3.45133863596907,495.8218917091568,3,1047.837991858362,NA,NA,12898213380.3997,7904782843.66822,3543231097.14284
1997,"Korea, Dem. People's Rep.",22827373,12576064,NA,2.782,5.60229379000378,NA,3,995.5592588420266,NA,NA,NA,NA,NA
1998,China,1241935000,712827235,1029060747620.65,3.24,6.51267036416146,828.5946910431303,3,1169.0663012894631,NA,NA,4312220081533.43,3041065308745.31,2371626806476.09
1998,"Hong Kong SAR, China",6543700,3328056,168885443660.072,4.58,10.7144643932627,25808.86098997081,3,1094.2196287064232,NA,NA,240653983938.69,164352317866.623,162655341191.985
1998,Japan,126400000,68191910,4098362709531.24,4.078,16.6570542146884,32423.755613380064,3,976.2162816455696,NA,NA,4857176520735.19,3224451308869.43,3892499235707.73
1998,"Korea, Rep.",46286503,22007668,383331833681.821,6.963,6.51171164252291,8281.719482714454,3,1076.4816868840887,NA,NA,974055299256.771,693124625328.878,657193648716.458
1998,"Macao SAR, China",418776,205902,6797792190.19681,4.607,7.11466273138862,16232.525718276142,3,1108.4273990119111,NA,NA,23327329273.4471,13950110029.3693,13246405261.2013
1998,Mongolia,2405148,919732,1124440204.84738,5.751,3.43612878788981,467.5139346299604,3,869.5005196820407,NA,NA,13329005529.755,8260603886.92579,3661572769.35615
1998,"Korea, Dem. People's Rep.",23023636,12729427,NA,2.974,5.82594773475397,NA,3,995.5592588420266,NA,NA,NA,NA,NA
1999,China,1252735000,722366758,1094003874937.34,3.25,6.72078988993725,873.2923363180082,3,1183.9146632981892,NA,NA,4642607356110.92,3320392312069.32,2553332587278.43
1999,"Hong Kong SAR, China",6606500,3341325,165768095391.557,6.25,10.9451051718208,25091.666599796717,3,1099.091224696662,NA,NA,246686469324.366,170856191753.701,166732630720.227
1999,Japan,126631000,67983381,4635982224063.88,4.677,17.2237546118562,36610.1683163197,3,944.6716048992744,NA,NA,4840956953231.78,3258971755243.63,3879501014654.61
1999,"Korea, Rep.",46616677,22254063,497514040642.262,6.342,6.80143666300172,10672.447558676524,3,1090.8458657354693,NA,NA,1085749659627.18,783492526099.428,732553666046.982
1999,"Macao SAR, China",425518,211178,6547670439.26,6.348,7.18806254964537,15387.528704449636,3,1107.4559417440737,NA,NA,22777216131.9121,13813886119.7909,12934023953.9858
1999,Mongolia,2428488,939035,1057408588.68269,5.84,3.41935052167244,435.4184944223278,3,869.5005196820407,NA,NA,13738255184.9967,8634719686.65931,3773996564.97664
1999,"Korea, Dem. People's Rep.",23204498,12821238,NA,3.166,6.08209895517022,NA,3,1007.5653663705724,NA,NA,NA,NA,NA
2000,China,1262645000,731993935,1211331651866.09,3.26,6.92062921691781,959.3604313691418,3,1191.7478264358335,NA,NA,5036769057117.47,3683895772379.01,2770112908903.6
2000,"Hong Kong SAR, China",6665000,3353910,171668891194.349,4.92,11.1682769552806,25756.77287237044,3,1129.8630767677205,NA,NA,265591140588.191,188116473376.969,179510086984.251
2000,Japan,126843000,67817652,4968359075956.59,4.748,17.8048884489408,39169.359570150424,3,941.9188287883446,NA,NA,4974792351105.4,3461199212871.49,3986755544464.21
2000,"Korea, Rep.",47008111,22867804,576179387819.613,4.063,7.13398058941335,12257.020662234503,3,1135.5731765867645,NA,NA,1184127626613.68,871475638525.286,798929132744.302
2000,"Macao SAR, China",431896,216467,6774193548.3871,6.874,7.25406956080811,15684.779549676545,3,1124.5548776971689,NA,NA,24086134185.8241,14938609735.4717,13677292023.4925
2000,Mongolia,2450979,961847,1136896123.61298,5.985,3.42434524646167,463.8538819031007,3,869.5005196820407,NA,NA,13895704125.9689,8931513813.72092,3817248910.66296
2000,"Korea, Dem. People's Rep.",23367059,12956803,NA,3.147,6.36499855704994,NA,3,1102.99877686473,NA,NA,NA,NA,NA
2001,China,1271850000,739359562,1339400897105.11,3.8,7.1210751843817,1053.1123144278886,3,1202.5205023334795,NA,NA,5456620701629.82,4080839898586.26,3001022138034.24
2001,"Hong Kong SAR, China",6714300,3439630,169404327616.605,5.09,11.4200067734645,25230.37809103034,3,1145.9425643745894,NA,NA,267080571669.216,193430981662.88,180516776824.581
2001,Japan,127149000,67626063,4374711694090.87,5.02,18.4193967231786,34406.18246380916,3,930.0453011820778,NA,NA,4994000194816.65,3552841434344.91,4002148544213.45
2001,"Korea, Rep.",47370164,23226360,547656279894.587,3.699,7.49145805176226,11561.207174511512,3,1143.1072730541991,NA,NA,1241586230493.65,934349291854.747,837696366558.277
2001,"Macao SAR, China",439122,221348,6860272608.45211,6.393,7.30275413210907,15622.70304938516,3,1124.5548776971689,NA,NA,24781841488.426,15716185610.8961,14072348858.5641
2001,Mongolia,2472601,985310,1267997934.3125,6.107,3.45342819160876,512.8194699882836,3,869.5005196820407,NA,NA,14306004046.7735,9402283755.72199,3929961221.71521
2001,"Korea, Dem. People's Rep.",23512522,13062752,NA,3.16,6.67160247633155,NA,3,1114.502278895571,NA,NA,NA,NA,NA
2002,China,1280400000,747567965,1470557654799.95,4.24,7.31742537683695,1148.5142571071149,3,1213.053093484014,NA,NA,5955008290109.18,4522776968547.28,3275124420038.43
2002,"Hong Kong SAR, China",6744100,3493929,166348866131.028,7.28,11.6909678373601,24665.836231821595,3,1143.024447560819,NA,NA,271505268484.58,199691238854.712,183507380006.772
2002,Japan,127445000,67075751,4182846045873.61,5.386,19.0245899250223,32820.793643325436,3,911.4785672250777,NA,NA,4996095802114.07,3647933229747.3,4003827945768.8
2002,"Korea, Rep.",47644736,23664352,627246933729.618,3.046,7.87054929148506,13165.083624969988,3,1151.6039961305398,NA,NA,1337500538238.29,1019446685620.94,902409606062.147
2002,"Macao SAR, China",449665,227477,7371692774.43404,6.267,7.28675791978473,16393.743730185895,3,1148.2913713860607,NA,NA,26990053631.1723,17382583857.8434,15326280356.7926
2002,Mongolia,2494617,1007947,1396555719.97409,6.2,3.48354006175295,559.8277090126821,3,869.5005196820407,NA,NA,14983104137.6382,10000318210.201,4115965440.05725
2002,"Korea, Dem. People's Rep.",23638411,13186185,NA,3.12,7.00425267595721,NA,3,1114.502278895571,NA,NA,NA,NA,NA
2003,China,1288400000,755273046,1660280543846.79,4.58,7.50238774524324,1288.637491343364,3,1224.9285138519451,NA,NA,6552773837418.75,5075031893949.34,3603882407613.85
2003,"Hong Kong SAR, China",6730800,3479071,161385558801.811,7.86,11.9580004607595,23977.173412047752,3,1122.0664413185789,NA,NA,279803235424.208,209857394895.134,189115883226.519
2003,Japan,127718000,66836856,4519561645253.53,5.251,19.5687750153473,35387.037420359935,3,910.5150331198422,NA,NA,5072792142740.79,3753919256711.54,4065291729511.6
2003,"Korea, Rep.",47892330,23675016,702714855193.904,3.348,8.26096571818543,14672.80575394649,3,1125.5411396568616,NA,NA,1379595574894.41,1058222737252.78,930811064125.151
2003,"Macao SAR, China",462533,228595,8246479565.94248,5.995,7.22564660251269,17828.95396856544,3,1215.6100665550357,NA,NA,30131865359.3298,19789161794.2247,17110355632.5226
2003,Mongolia,2516454,1029272,1595297355.78349,6.768,3.51836423760662,633.9465596364925,3,869.5005196820407,NA,NA,16032615830.299,10912071503.0991,4404273778.31917
2003,"Korea, Dem. People's Rep.",23781707,13317729,NA,3.13,7.37591728331186,NA,3,1114.502278895571,NA,NA,NA,NA,NA
2004,China,1296075000,762251057,1955346768721.39,4.49,7.66634719129556,1508.667915607808,3,1243.0020387992618,NA,NA,7215496573067.44,5738575724796.05,3968365429214.8
2004,"Hong Kong SAR, China",6783500,3525372,169099768875.193,6.74,12.2081504210853,24928.100372255176,3,1153.2426803109267,NA,NA,304146390746.175,234249411029.044,205569150152.667
2004,Japan,127761000,66578272,4893116005656.56,4.734,20.0610687813337,38298.98017123034,3,908.2806959870384,NA,NA,5183689247918.63,3938955753801.61,4154163710034.48
2004,"Korea, Rep.",48082519,24194814,793175561887.027,3.42,8.66094406311878,16496.13161671141,3,1127.1576441307109,NA,NA,1451298556151.67,1143105567943.22,979188957980.11
2004,"Macao SAR, China",475529,242717,10643253553.184,4.905,7.15633835545429,22381.923191191283,3,1304.5334060700604,NA,NA,38156084368.1481,25732944103.7706,21666901975.6323
2004,Mongolia,2537949,1053791,1992066808.09598,6.852,3.571702977483,784.9120719510045,3,871.1892497090304,NA,NA,17736146348.2644,12396137238.1821,4872245746.85238
2004,"Korea, Dem. People's Rep.",23948930,13460245,NA,3.079,7.76236767154107,NA,3,1116.1910089225605,NA,NA,NA,NA,NA
2005,China,1303720000,769371812,2285961149879.85,4.52,7.82541745455974,1753.4141916054446,3,1257.334766097986,NA,NA,8037672954625.27,6592895776896.02,4420544471398.72
2005,"Hong Kong SAR, China",6813200,3550951,181569311742.213,5.58,12.4359464770481,26649.637724155025,3,1165.575528011101,NA,NA,326617113557.754,259443481753.372,220756860848.032
